venta_id,cliente_id,sucursal_id,fecha_venta,estado,total
1,1,1,2025-01-01 08:00:00,PAGADA,3411.75
2,2,2,2025-01-01 08:10:00,PAGADA,7647.00
3,3,3,2025-01-01 08:20:00,PAGADA,12705.75
4,4,4,2025-01-01 08:30:00,PAGADA,18588.00
5,5,5,2025-01-01 08:40:00,CREADA,5058.75
6,6,6,2025-01-01 08:50:00,PAGADA,10941.00
7,7,7,2025-01-01 09:00:00,PAGADA,17646.75
8,8,8,2025-01-01 09:10:00,PAGADA,25176.00
9,9,9,2025-01-01 09:20:00,PAGADA,6705.75
10,10,10,2025-01-01 09:30:00,CREADA,14235.00
11,11,1,2025-01-01 09:40:00,PAGADA,22587.75
12,12,2,2025-01-01 09:50:00,PAGADA,31764.00
13,13,3,2025-01-01 10:00:00,PAGADA,8352.75
14,14,4,2025-01-01 10:10:00,PAGADA,17529.00
15,15,5,2025-01-01 10:20:00,CREADA,27528.75
16,16,6,2025-01-01 10:30:00,PAGADA,38352.00
17,17,7,2025-01-01 10:40:00,PAGADA,9999.75
18,18,8,2025-01-01 10:50:00,PAGADA,20823.00
19,19,9,2025-01-01 11:00:00,PAGADA,32469.75
20,20,10,2025-01-01 11:10:00,CREADA,44940.00
21,21,1,2025-01-01 11:20:00,PAGADA,11646.75
22,22,2,2025-01-01 11:30:00,PAGADA,24117.00
23,23,3,2025-01-01 11:40:00,PAGADA,37410.75
24,24,4,2025-01-01 11:50:00,PAGADA,51528.00
25,25,5,2025-01-01 12:00:00,CREADA,13293.75
26,26,6,2025-01-01 12:10:00,PAGADA,27411.00
27,27,7,2025-01-01 12:20:00,PAGADA,42351.75
28,28,8,2025-01-01 12:30:00,PAGADA,58116.00
29,29,9,2025-01-01 12:40:00,PAGADA,14940.75
30,30,10,2025-01-01 12:50:00,ANULADA,30705.00
31,31,1,2025-01-01 13:00:00,PAGADA,47292.75
32,32,2,2025-01-01 13:10:00,PAGADA,64704.00
33,33,3,2025-01-01 13:20:00,PAGADA,16587.75
34,34,4,2025-01-01 13:30:00,PAGADA,33999.00
35,35,5,2025-01-01 13:40:00,CREADA,52233.75
36,36,6,2025-01-01 13:50:00,PAGADA,71292.00
37,37,7,2025-01-01 14:00:00,PAGADA,18234.75
