detalle_id,venta_id,producto_id,cantidad,precio_unitario,subtotal
1,1,1,1,1137.25,1137.25
2,2,2,2,1274.50,2549.00
3,3,3,3,1411.75,4235.25
4,4,4,4,1549.00,6196.00
5,5,5,1,1686.25,1686.25
6,6,6,2,1823.50,3647.00
7,7,7,3,1960.75,5882.25
8,8,8,4,2098.00,8392.00
9,9,9,1,2235.25,2235.25
10,10,10,2,2372.50,4745.00
11,11,11,3,2509.75,7529.25
12,12,12,4,2647.00,10588.00
13,13,13,1,2784.25,2784.25
14,14,14,2,2921.50,5843.00
15,15,15,3,3058.75,9176.25
16,16,16,4,3196.00,12784.00
17,17,17,1,3333.25,3333.25
18,18,18,2,3470.50,6941.00
19,19,19,3,3607.75,10823.25
20,20,20,4,3745.00,14980.00
21,21,21,1,3882.25,3882.25
22,22,22,2,4019.50,8039.00
23,23,23,3,4156.75,12470.25
24,24,24,4,4294.00,17176.00
25,25,25,1,4431.25,4431.25
26,26,26,2,4568.50,9137.00
27,27,27,3,4705.75,14117.25
28,28,28,4,4843.00,19372.00
29,29,29,1,4980.25,4980.25
30,30,30,2,5117.50,10235.00
31,31,31,3,5254.75,15764.25
32,32,32,4,5392.00,21568.00
33,33,33,1,5529.25,5529.25
34,34,34,2,5666.50,11333.00
35,35,35,3,5803.75,17411.25
36,36,36,4,5941.00,23764.00
37,37,37,1,6078.25,6078.25
38,38,38,2,6215.50,12431.00
39,39,39,3,6352.75,19058.25
40,40,40,4,6490.00,25960.00
41,41,41,1,6627.25,6627.25
42,42,42,2,6764.50,13529.00
43,43,43,3,6901.75,20705.25
44,44,44,4,7039.00,28156.00
45,45,45,1,7176.25,7176.25
46,46,46,2,7313.50,14627.00
47,47,47,3,7450.75,22352.25
48,48,48,4,7588.00,30352.00
49,49,49,1,7725.25,7725.25
50,50,50,2,7862.50,15725.00
51,51,51,3,7999.75,23999.25
52,52,52,4,8137.00,32548.00
53,53,53,1,8274.25,8274.25
54,54,54,2,8411.50,16823.00
55,55,55,3,8548.75,25646.25
56,56,56,4,8686.00,34744.00
57,57,57,1,8823.25,8823.25
58,58,58,2,8960.50,17921.00
59,59,59,3,9097.75,27293.25
60,60,60,4,9235.00,36940.00
61,61,61,1,9372.25,9372.25
62,62,62,2,9509.50,19019.00
63,63,63,3,9646.75,28940.25
64,64,64,4,9784.00,39136.00
65,65,65,1,9921.25,9921.25
66,66,66,2,10058.50,20117.00
67,67,67,3,10195.75,30587.25
68,68,68,4,10333.00,41332.00
69,69,69,1,10470.25,10470.25
70,70,70,2,10607.50,21215.00
71,71,71,3,10744.75,32234.25
72,72,72,4,10882.00,43528.00
73,73,73,1,11019.25,11019.25
74,74,74,2,11156.50,22313.00
75,75,75,3,11293.75,33881.25
76,76,76,4,11431.00,45724.00
77,77,77,1,11568.25,11568.25
78,78,78,2,11705.50,23411.00
79,79,79,3,11842.75,35528.25
80,80,80,4,11980.00,47920.00
81,81,81,1,12117.25,12117.25
82,82,82,2,12254.50,24509.00
83,83,83,3,12391.75,37175.25
84,84,84,4,12529.00,50116.00
85,85,85,1,12666.25,12666.25
86,86,86,2,12803.50,25607.00
87,87,87,3,12940.75,38822.25
88,88,88,4,13078.00,52312.00
89,89,89,1,13215.25,13215.25
90,90,90,2,13352.50,26705.00
91,91,91,3,13489.75,40469.25
92,92,92,4,13627.00,54508.00
93,93,93,1,13764.25,13764.25
94,94,94,2,13901.50,27803.00
95,95,95,3,14038.75,42116.25
96,96,96,4,14176.00,56704.00
97,97,97,1,14313.25,14313.25
98,98,98,2,14450.50,28901.00
99,99,99,3,14587.75,43763.25
100,100,100,4,14725.00,58900.00
101,101,1,1,1137.25,1137.25
102,102,2,2,1274.50,2549.00
103,103,3,3,1411.75,4235.25
104,104,4,4,1549.00,6196.00
105,105,5,1,1686.25,1686.25
106,106,6,2,1823.50,3647.00
107,107,7,3,1960.75,5882.25
108,108,8,4,2098.00,8392.00
109,109,9,1,2235.25,2235.25
110,110,10,2,2372.50,4745.00
111,111,11,3,2509.75,7529.25
112,112,12,4,2647.00,10588.00
113,113,13,1,2784.25,2784.25
114,114,14,2,2921.50,5843.00
115,115,15,3,3058.75,9176.25
116,116,16,4,3196.00,12784.00
117,117,17,1,3333.25,3333.25
118,118,18,2,3470.50,6941.00
119,119,19,3,3607.75,10823.25
120,120,20,4,3745.00,14980.00
121,121,21,1,3882.25,3882.25
122,122,22,2,4019.50,8039.00
123,123,23,3,4156.75,12470.25
124,124,24,4,4294.00,17176.00
125,125,25,1,4431.25,4431.25
126,126,26,2,4568.50,9137.00
127,127,27,3,4705.75,14117.25
128,128,28,4,4843.00,19372.00
129,129,29,1,4980.25,4980.25
130,130,30,2,5117.50,10235.00
131,131,31,3,5254.75,15764.25
132,132,32,4,5392.00,21568.00
133,133,33,1,5529.25,5529.25
134,134,34,2,5666.50,11333.00
135,135,35,3,5803.75,17411.25
136,136,36,4,5941.00,23764.00
137,137,37,1,6078.25,6078.25
138,138,38,2,6215.50,12431.00
139,139,39,3,6352.75,19058.25
140,140,40,4,6490.00,25960.00
141,141,41,1,6627.25,6627.25
142,142,42,2,6764.50,13529.00
143,143,43,3,6901.75,20705.25
144,144,44,4,7039.00,28156.00
145,145,45,1,7176.25,7176.25
146,146,46,2,7313.50,14627.00
147,147,47,3,7450.75,22352.25
148,148,48,4,7588.00,30352.00
149,149,49,1,7725.25,7725.25
150,150,50,2,7862.50,15725.00
151,151,51,3,7999.75,23999.25
152,152,52,4,8137.00,32548.00
153,153,53,1,8274.25,8274.25
154,154,54,2,8411.50,16823.00
155,155,55,3,8548.75,25646.25
156,156,56,4,8686.00,34744.00
157,157,57,1,8823.25,8823.25
158,158,58,2,8960.50,17921.00
159,159,59,3,9097.75,27293.25
160,160,60,4,9235.00,36940.00
161,161,61,1,9372.25,9372.25
162,162,62,2,9509.50,19019.00
163,163,63,3,9646.75,28940.25
164,164,64,4,9784.00,39136.00
165,165,65,1,9921.25,9921.25
166,166,66,2,10058.50,20117.00
167,167,67,3,10195.75,30587.25
168,168,68,4,10333.00,41332.00
169,169,69,1,10470.25,10470.25
170,170,70,2,10607.50,21215.00
