producto_id,nombre,categoria,precio,stock,activo
1,Producto 1,Electrónica,1137.25,17,True
2,Producto 2,Accesorios,1274.50,24,True
3,Producto 3,Oficina,1411.75,31,True
4,Producto 4,Computación,1549.00,38,True
5,Producto 5,Electrónica,1686.25,45,True
6,Producto 6,Accesorios,1823.50,52,True
7,Producto 7,Oficina,1960.75,59,True
8,Producto 8,Computación,2098.00,66,True
9,Producto 9,Electrónica,2235.25,73,True
10,Producto 10,Accesorios,2372.50,80,True
11,Producto 11,Oficina,2509.75,87,True
12,Producto 12,Computación,2647.00,94,True
13,Producto 13,Electrónica,2784.25,101,True
14,Producto 14,Accesorios,2921.50,108,True
15,Producto 15,Oficina,3058.75,115,True
16,Producto 16,Computación,3196.00,122,True
17,Producto 17,Electrónica,3333.25,129,True
18,Producto 18,Accesorios,3470.50,136,True
19,Producto 19,Oficina,3607.75,143,True
20,Producto 20,Computación,3745.00,150,True
21,Producto 21,Electrónica,3882.25,157,True
22,Producto 22,Accesorios,4019.50,164,True
23,Producto 23,Oficina,4156.75,171,True
24,Producto 24,Computación,4294.00,178,True
25,Producto 25,Electrónica,4431.25,185,True
26,Producto 26,Accesorios,4568.50,192,True
27,Producto 27,Oficina,4705.75,199,True
28,Producto 28,Computación,4843.00,206,True
29,Producto 29,Electrónica,4980.25,13,True
30,Producto 30,Accesorios,5117.50,20,True
31,Producto 31,Oficina,5254.75,27,True
32,Producto 32,Computación,5392.00,34,True
33,Producto 33,Electrónica,5529.25,41,True
34,Producto 34,Accesorios,5666.50,48,True
35,Producto 35,Oficina,5803.75,55,True
36,Producto 36,Computación,5941.00,62,True
37,Producto 37,Electrónica,6078.25,69,True
38,Producto 38,Accesorios,6215.50,76,True
39,Producto 39,Oficina,6352.75,83,True
40,Producto 40,Computación,6490.00,90,True
41,Producto 41,Electrónica,6627.25,97,True
42,Producto 42,Accesorios,6764.50,104,True
43,Producto 43,Oficina,6901.75,111,True
44,Producto 44,Computación,7039.00,118,True
45,Producto 45,Electrónica,7176.25,125,True
46,Producto 46,Accesorios,7313.50,132,True
47,Producto 47,Oficina,7450.75,139,True
48,Producto 48,Computación,7588.00,146,True
49,Producto 49,Electrónica,7725.25,153,True
50,Producto 50,Accesorios,7862.50,160,True
51,Producto 51,Oficina,7999.75,167,True
52,Producto 52,Computación,8137.00,174,True
53,Producto 53,Electrónica,8274.25,181,True
54,Producto 54,Accesorios,8411.50,188,True
55,Producto 55,Oficina,8548.75,195,True
56,Producto 56,Computación,8686.00,202,True
57,Producto 57,Electrónica,8823.25,209,True
58,Producto 58,Accesorios,8960.50,16,True
59,Producto 59,Oficina,9097.75,23,True
60,Producto 60,Computación,9235.00,30,True
61,Producto 61,Electrónica,9372.25,37,True
62,Producto 62,Accesorios,9509.50,44,True
63,Producto 63,Oficina,9646.75,51,True
64,Producto 64,Computación,9784.00,58,True
65,Producto 65,Electrónica,9921.25,65,True
66,Producto 66,Accesorios,10058.50,72,True
67,Producto 67,Oficina,10195.75,79,True
68,Producto 68,Computación,10333.00,86,True
69,Producto 69,Electrónica,10470.25,93,True
70,Producto 70,Accesorios,10607.50,100,True
71,Producto 71,Oficina,10744.75,107,True
72,Producto 72,Computación,10882.00,114,True
73,Producto 73,Electrónica,11019.25,121,True
74,Producto 74,Accesorios,11156.50,128,True
75,Producto 75,Oficina,11293.75,135,True
76,Producto 76,Computación,11431.00,142,True
77,Producto 77,Electrónica,11568.25,149,True
78,Producto 78,Accesorios,11705.50,156,True
79,Producto 79,Oficina,11842.75,163,True
80,Producto 80,Computación,11980.00,170,True
81,Producto 81,Electrónica,12117.25,177,True
82,Producto 82,Accesorios,12254.50,184,True
83,Producto 83,Oficina,12391.75,191,True
84,Producto 84,Computación,12529.00,198,True
85,Producto 85,Electrónica,12666.25,205,True
86,Producto 86,Accesorios,12803.50,12,True
87,Producto 87,Oficina,12940.75,19,True
88,Producto 88,Computación,13078.00,26,True
89,Producto 89,Electrónica,13215.25,33,True
90,Producto 90,Accesorios,13352.50,40,True
91,Producto 91,Oficina,13489.75,47,True
92,Producto 92,Computación,13627.00,54,True
93,Producto 93,Electrónica,13764.25,61,True
94,Producto 94,Accesorios,13901.50,68,True
95,Producto 95,Oficina,14038.75,75,True
96,Producto 96,Computación,14176.00,82,True
97,Producto 97,Electrónica,14313.25,89,True
98,Producto 98,Accesorios,14450.50,96,True
99,Producto 99,Oficina,14587.75,103,True
100,Producto 100,Computación,14725.00,110,True
